RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
394363,590,"Bartlesville, OK",msa,OK,117287.0,114827.0,119350.0,112957.0,122194.0,123193.0,135689.0,130854.0,124616.0,121634.0,127262.0,133084.0,130557.0,128395.0,129266.0,127908.0,111983.0,114155.0,119091.0,136616.0,125204.0,122706.0,115369.0,126091.0,127781.0,130042.0,130592.0,137867.0,137123.0,132993.0,127401.0,135440.0,150540.0,162682.0,161172.0,155730.0,153651.0,155952.0,156682.0,154958.0,152665.0,152289.0,146040.0,152432.0,153513.0,162142.0,164523.0,163256.0,165958.0,178221.0,185677.0,183091.0,169842.0,158322.0,150355.0,150289.0,150883.0,159689.0,159404.0,164180.0,163377.0,172546.0,170629.0,163151.0,148001.0,154693.0,160863.0,164256.0,169404.0,171922.0,186791.0,176344.0,173223.0,166107.0
394985,591,"Platteville, WI",msa,WI,,,,,,,,,,,,,,,,,,,121844.0,127301.0,128898.0,137419.0,148030.0,147159.0,144844.0,136608.0,140567.0,140248.0,157373.0,148469.0,147687.0,135588.0,143041.0,146001.0,145902.0,150945.0,155321.0,161706.0,159773.0,158804.0,152173.0,154965.0,163764.0,171401.0,166144.0,156571.0,150036.0,156407.0,158824.0,171366.0,175535.0,174403.0,160167.0,152069.0,154394.0,156293.0,157597.0,159654.0,161511.0,166783.0,173914.0,188942.0,185884.0,189663.0,185195.0,174273.0,162940.0,155433.0,181014.0,179799.0,190464.0,187804.0,192212.0,198500.0
394503,592,"Corsicana, TX",msa,TX,,,,,,,,,,,,,,,,,,,154613.0,163297.0,165282.0,172379.0,177942.0,185120.0,180348.0,168760.0,161001.0,163219.0,171955.0,189544.0,205493.0,203636.0,191635.0,185048.0,199716.0,204524.0,199175.0,197995.0,200787.0,209198.0,206586.0,214143.0,216450.0,218147.0,203329.0,209559.0,216379.0,223510.0,220094.0,216345.0,221092.0,214309.0,221338.0,221723.0,231307.0,223768.0,217544.0,221690.0,229857.0,258477.0,265293.0,275864.0,241769.0,228926.0,207508.0,239763.0,243954.0,255125.0,253103.0,265386.0,264817.0,252747.0,232267.0,231290.0
394652,593,"Greenville, OH",msa,OH,110945.0,110699.0,101410.0,97832.0,100162.0,103020.0,107616.0,111935.0,110209.0,110376.0,104106.0,108059.0,107095.0,104003.0,100598.0,102422.0,105186.0,122201.0,124478.0,126953.0,117105.0,114701.0,120208.0,117102.0,115209.0,113819.0,129792.0,134780.0,136146.0,130298.0,127298.0,136318.0,137371.0,142381.0,137142.0,136903.0,140326.0,139715.0,147723.0,152192.0,160690.0,159748.0,153907.0,154380.0,155680.0,163250.0,160998.0,162124.0,164669.0,164583.0,162767.0,156212.0,156991.0,157472.0,165722.0,170858.0,174017.0,173304.0,173386.0,169792.0,163723.0,171249.0,170766.0,171924.0,164020.0,166226.0,160697.0,163986.0,165903.0,176414.0,176769.0,178776.0,179014.0,172257.0
395029,594,"Rochelle, IL",msa,IL,129004.0,134066.0,133230.0,140968.0,135427.0,130270.0,120375.0,119900.0,123071.0,136245.0,136063.0,131804.0,130128.0,138613.0,141530.0,134331.0,133758.0,132019.0,138661.0,139853.0,146822.0,141930.0,139407.0,139542.0,139741.0,142313.0,144032.0,151597.0,154791.0,151325.0,149668.0,150158.0,157293.0,155826.0,157730.0,151067.0,154995.0,155423.0,165124.0,165211.0,161417.0,159008.0,153473.0,157320.0,147275.0,150432.0,142470.0,152855.0,156146.0,160369.0,149912.0,152787.0,147527.0,149427.0,146795.0,152700.0,158329.0,155280.0,167961.0,167831.0,170633.0,154739.0,157543.0,164463.0,175912.0,178118.0,178231.0,175006.0,174078.0,168033.0,178153.0,183298.0,190941.0,186495.0
394933,597,"Oil City, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78674.0,88413.0,86571.0,85746.0,81880.0,92662.0,99726.0,99626.0,96858.0,88550.0,87542.0,84207.0,91992.0,87411.0,89967.0,86132.0,93626.0,106748.0,111258.0,120089.0,115299.0,108105.0,88294.0,81837.0,87055.0,97417.0,97063.0,113938.0,114878.0,122651.0,110928.0,122378.0,129479.0,124393.0,112235.0,109249.0,130346.0,133051.0,132534.0,120739.0,114079.0,109346.0,93238.0
394838,598,"Mason City, IA",msa,IA,106337.0,110395.0,117117.0,115292.0,116016.0,116836.0,117428.0,117578.0,111053.0,109849.0,105808.0,110998.0,111650.0,117024.0,119547.0,121342.0,116444.0,110078.0,116236.0,119262.0,128577.0,125855.0,124200.0,129595.0,129634.0,133732.0,122928.0,119953.0,113659.0,112167.0,118303.0,123768.0,127818.0,122307.0,119760.0,123150.0,129169.0,132775.0,136393.0,135064.0,136887.0,130782.0,132990.0,133905.0,137012.0,134038.0,133843.0,134119.0,133599.0,141561.0,145434.0,149165.0,143833.0,142828.0,143890.0,147491.0,153799.0,151531.0,150443.0,147835.0,156745.0,165596.0,159784.0,161111.0,172588.0,174595.0,161817.0,148032.0,160030.0,164434.0,168999.0,153221.0,160487.0,165703.0
394625,600,"Galesburg, IL",msa,IL,82293.0,83510.0,85885.0,79742.0,75247.0,82310.0,95428.0,103895.0,92047.0,83048.0,76329.0,79134.0,80967.0,78896.0,75506.0,73895.0,79563.0,76510.0,81977.0,77340.0,80825.0,82694.0,89349.0,88211.0,80317.0,79574.0,81800.0,86797.0,83937.0,80242.0,68745.0,73583.0,76940.0,87659.0,90292.0,90220.0,87024.0,81827.0,82895.0,87809.0,89139.0,92660.0,85351.0,92961.0,95570.0,100368.0,95259.0,93480.0,92958.0,89349.0,85632.0,81493.0,86348.0,81347.0,83792.0,83877.0,94885.0,98938.0,106704.0,105913.0,106622.0,96231.0,93352.0,97065.0,94168.0,85184.0,78443.0,80351.0,85101.0,84346.0,97982.0,105180.0,107461.0,104556.0
394954,601,"Pahrump, NV",msa,NV,226613.0,216568.0,214649.0,210569.0,219898.0,227126.0,227875.0,234661.0,238682.0,242152.0,238129.0,238697.0,238987.0,241724.0,239119.0,250436.0,251901.0,254580.0,242473.0,243327.0,241549.0,243901.0,246740.0,250717.0,256509.0,258097.0,262116.0,267664.0,270982.0,269216.0,271834.0,263103.0,265682.0,269818.0,290498.0,301095.0,303438.0,307810.0,321609.0,327400.0,328333.0,329473.0,343209.0,349495.0,358850.0,356036.0,362602.0,357663.0,356669.0,339133.0,330781.0,334262.0,332926.0,332528.0,312996.0,315036.0,302959.0,297466.0,289862.0,289092.0,288604.0,289723.0,288767.0,297327.0,309006.0,319379.0,331073.0,333715.0,338834.0,335955.0,334499.0,334215.0,341074.0,351446.0
394963,602,"Paris, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177048.0,193897.0,193980.0,196238.0,199737.0,186026.0,199890.0,197140.0,215695.0,197429.0,190161.0,187924.0,198966.0,210807.0,212702.0,197915.0,196413.0,201036.0,199345.0
