RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
102001,0,United States,country,,1253.3393246429252,1259.7793489367268,1268.3437342485026,1278.430726365954,1287.8593673788453,1296.6314065229428,1302.5219498203492,1305.905810356262,1307.159454671864,1307.1346486352506,1307.672261450613,1308.9432328503606,1313.1280004515345,1318.537392593705,1325.2773881400274,1333.7819681495278,1342.6751412901333,1350.8040896361833,1355.233635297436,1356.9074411427162,1356.006984988322,1354.3023899931836,1353.2669725336775,1353.34108583339,1359.0669621035752,1368.7011864123854,1381.9724647260628,1393.628297562041,1403.8453414522683,1411.5974079233265,1416.476619441133,1418.0368000550066,1419.2741267900276,1418.8755865823962,1419.8063051842237,1421.1209097242504,1426.160018630692,1434.0405235624519,1445.0600492850976,1456.0258330631248,1465.3854254846303,1472.6529385494207,1477.1700207678239,1479.613152168033,1479.8011070968385,1480.2112705273407,1482.3290893610254,1485.3415199913443,1490.3478546797119,1497.709192711529,1509.2062296989993,1520.7914375500013,1531.2747210492264,1538.7762874188131,1543.5134376550234,1545.6293664129723,1546.1934438481092,1546.6347234813031,1547.6970808930505,1549.3968975800092,1555.1401656387468,1564.0189599004511,1574.0460558605816,1579.693634363568,1585.9958573190397,1594.5570062360184,1607.9511121219916,1620.041604786257,1630.6750283509057,1639.1347567040998,1645.9960752029524,1653.4302099063884,1664.5479892233075,1679.075933292616,1696.2191120230525,1715.6051073473836,1739.0593601245764,1763.673857311422,1787.1359253638439,1809.0596057206878,1827.46985264355,1842.1613152059813,1853.5204949423676,1864.9293378259774,1878.7651631696956,1896.80240627905,1916.7661796508191,1938.4176634729877,1957.0383920650538,1976.0767660389326,1991.0596888546308,2003.2668388889058,2008.4394289123193,2011.538454240701,2010.8044485935243,2014.6675803514213,2019.728324769805,2029.7623195894528,2042.4410248228867,2057.1839794084976,2070.5385364254985,2080.976787293193,2090.672324948786,2099.340770270322,2104.5726048649713,2105.294539139051,2104.7857129893796,2106.855726399211,2116.0024358745845,2128.386412000432,2144.485601977887,2157.5751830901913,2169.927445886203,2179.000716294232,2187.516328669233,2193.443861110434,2196.2412820671548,2196.4498805385724,2197.6213809807864
394913,1,"New York, NY",msa,NY,2253.6969752894233,2278.749177419079,2295.952609304265,2310.2340917496253,2311.83968206543,2329.5342265547106,2335.231265741696,2335.4060136094395,2332.5344040930518,2334.5832738362333,2337.713344085023,2344.8789823858124,2353.114020796305,2365.3861918253997,2375.0344757364737,2388.4070984146497,2398.8290510923835,2402.83617021156,2406.4013243071245,2399.7240819930657,2397.4774542768323,2394.53171528622,2412.8187470989365,2420.29053876386,2439.4319704510117,2450.1427759441153,2466.262342200341,2476.119335187183,2487.962648285463,2495.092444155448,2501.020755960656,2496.3640044934714,2524.678937572429,2532.538969764512,2528.2568866798583,2502.1690024261175,2503.3067613538924,2517.900132517769,2529.9655004474976,2543.5254037107898,2558.818161468432,2571.421587416346,2577.159979462693,2586.8810812987053,2588.3278275273155,2583.2864679180134,2581.0457382300137,2580.1018022906173,2584.6830491754627,2601.303054182879,2630.187920260421,2651.5389425587246,2663.6418395286055,2670.2823944648385,2671.3231812533586,2660.5060896455743,2641.756064607989,2651.3588407016186,2657.392701223166,2683.3344312123477,2685.4755017453003,2700.0137228614444,2713.3593201313934,2735.499389586924,2752.6281533411325,2763.901926758877,2773.6298550475685,2783.621290031642,2791.135073879074,2778.824723752769,2801.521981845528,2801.603998264045,2840.8727842644903,2860.872535921803,2911.274414618029,2948.339638776104,2965.914074006515,2985.4531022355322,2999.5215422581905,3021.2565877268084,3020.846418135967,3036.850849104018,3030.052175966716,3062.058819919146,3093.6044587027554,3161.670294746388,3199.96774879531,3231.5766668714664,3247.2329111840627,3271.1348344531507,3300.645296923704,3320.7083971414368,3327.2990122693595,3316.8436255019833,3312.1772910020914,3311.7701261776338,3318.398476332319,3352.0907524512945,3410.4211386388743,3470.8836768575775,3494.2941985315942,3494.8565173407874,3491.9104219347028,3499.04182565285,3493.810601824975,3472.4116078682973,3455.220543824313,3473.8721956435948,3518.264419698155,3553.02315024268,3599.8236007810237,3608.4171883263025,3634.703527589581,3644.3428240104517,3668.581238990956,3680.296998815177,3651.275908921598,3642.036883238843,3650.152177846539
753899,2,"Los Angeles, CA",msa,CA,2502.506499442523,2517.0467425213405,2535.087277061158,2546.3087851923774,2569.5711769467603,2589.357047174401,2609.6917686078687,2621.316921217455,2629.910559445086,2633.0676905110163,2626.17265185257,2629.539578193411,2644.1984525712915,2667.4101340247853,2690.0040976793543,2704.172846019363,2731.792599558281,2747.920107126912,2760.7471487130756,2760.2403605187433,2759.4351607997223,2754.4838977160243,2749.932988584743,2749.0364122898836,2769.2365459046882,2792.6570458271713,2825.9060027831747,2850.725718894739,2875.0008324340592,2884.9178020585405,2893.938983195055,2892.336716350676,2900.8389555955378,2897.492993541939,2909.0604392159858,2908.6258796753677,2924.7340058655795,2937.200973062589,2961.3599179950756,2981.324901300369,2997.0087525535278,3010.859629721707,3019.455521754902,3021.984055999994,3025.306870094514,3028.387274546638,3045.479067028619,3051.391941487236,3064.0516095682137,3066.3812939645272,3092.8266694685312,3106.496959311434,3132.3742216983733,3138.147749829071,3148.12154318702,3144.1061819592805,3144.0822658907687,3145.5553378663017,3151.3528160779706,3158.175156782917,3171.518203014796,3185.1667871862246,3190.945218996664,3179.27761264874,3179.9350067021087,3194.3112060901967,3227.97008372952,3239.5466641997878,3253.436775127504,3261.7871541531968,3286.030595994734,3296.40587650078,3319.5894228254588,3339.0225737029923,3376.8760247693235,3396.657199627879,3426.174900680586,3451.658195561682,3485.878610754076,3530.860758415583,3571.192674259718,3599.362766806209,3620.203284711773,3642.9182525817228,3681.108029705978,3725.08747818504,3773.2433140322173,3814.340240791325,3847.0300877680343,3875.737983948267,3898.8485636393225,3909.7238603958317,3911.8335908262475,3920.169903678117,3924.883539370642,3929.046015200238,3933.8180405790977,3943.2379288659085,3967.0276229789697,3999.8151426608733,4022.628221324993,4053.485046496716,4069.2943539363073,4095.4992082918734,4086.450512206956,4078.7589361450237,4077.2109842543714,4089.749319088459,4118.702857801945,4134.877934635262,4156.770427770479,4172.613413604812,4193.897172181752,4212.506074852447,4229.550702912127,4232.788017377266,4235.38717041596,4229.9584131026495,4232.6993861287765
394463,3,"Chicago, IL",msa,IL,1485.9778181582362,1491.30756613368,1501.4747948028842,1514.207093373324,1527.309660240178,1536.2788977298694,1537.1025651353752,1536.7877377480245,1532.4588184643983,1524.438483653972,1521.1167465848341,1524.5775233588627,1531.4323211375324,1538.533866405481,1548.9318323743173,1558.8772839668602,1566.0121680663008,1570.24482347819,1575.8138673954438,1581.2840280936778,1575.7249688428174,1567.9158825025324,1557.8737983350702,1551.9502819864667,1559.0060716675157,1568.85249456932,1586.4482922594627,1600.1407864434664,1614.1297239222138,1619.4271230106317,1620.633668721108,1617.9872854163393,1614.415626775786,1604.9473582575276,1600.6676536803739,1597.4410561128855,1603.3603221783317,1611.861142404949,1625.9247004226359,1640.8411362020051,1648.8873784702498,1654.9610283912036,1656.238141420953,1656.390386426873,1655.3230215877718,1650.1493353293856,1646.4454968256427,1641.5825638238746,1649.8488649826459,1655.471815644952,1669.7595506875514,1678.4059640914559,1691.4334960123726,1700.012069015758,1703.9810349682487,1703.1681864041386,1701.3365646245932,1697.8074993795876,1693.964660352222,1689.4472199429467,1693.1235224595553,1704.4063013952464,1717.9314435305541,1725.0344420573338,1729.9417973810591,1735.8617726852333,1743.4390296880329,1750.2729053241217,1747.3842160698625,1743.2876172440874,1739.2171159804384,1745.0307946958708,1756.5391433604864,1773.2538942313192,1788.017848950144,1805.2447825906845,1823.348567869667,1845.4495881446255,1862.7858174368948,1878.0327266366317,1894.2300190343335,1904.0881080655033,1911.219779084882,1916.4797614741167,1923.937319062335,1931.676928104675,1951.6288764584676,1974.9856483924457,2002.699838131436,2019.3007349356662,2036.6059513625596,2050.3306624492197,2053.4408563308784,2057.3266408139443,2051.5256079493415,2063.817491876577,2071.1591961623753,2086.574506716068,2095.2582499079076,2115.0588028714865,2135.3274680051463,2156.6751595992987,2170.0458006144636,2183.353424230523,2192.158671637377,2195.3677074667876,2195.0629390889508,2205.3016837004316,2215.1692278233327,2228.967728585063,2238.80527880346,2265.4105255105596,2287.7025274344055,2303.12177461421,2312.6949646601615,2323.715178894053,2330.309852842476,2337.1107051717568,2341.64783226245
394514,4,"Dallas, TX",msa,TX,1370.860695016103,1379.2661764674722,1389.0170345373574,1402.9874922871782,1415.5576664900145,1426.1637756345146,1434.5884558803114,1438.1949969513187,1438.8190572670926,1438.380801113962,1438.5406431160422,1440.4246075015421,1443.1969334374185,1452.0438081991006,1463.2262522527183,1475.9217623578181,1486.8005397860427,1495.5982920149895,1501.9333081598027,1504.545224909548,1504.8666339056863,1502.104925760537,1499.5697085314687,1498.2530846065224,1506.01531078369,1516.0347846891402,1531.5586810958107,1544.3147660212214,1557.7563104905862,1565.0809179773769,1570.2274042539862,1572.7335863931535,1572.421980355975,1571.8325130721669,1570.8796373987386,1575.1742948682054,1580.2389437334093,1588.4315642803,1595.4603438497466,1607.5117004002645,1615.274590563151,1625.2004110175135,1625.9200372228183,1629.6224409310555,1630.2365987066717,1630.5733833935415,1628.0700261426782,1629.3299282290811,1635.7763329061204,1644.2321483164483,1654.286584552922,1664.9218401791443,1677.4410573507869,1683.338443580342,1685.8327307253437,1686.0028406477693,1685.6215571499972,1686.8256341001563,1688.0859709132178,1686.6384848665698,1690.4058215228454,1696.4496057700483,1708.5202537635628,1712.1123278085927,1717.8277998066765,1726.3925219472462,1739.0616907086378,1749.8039636681842,1758.5396421450725,1769.5618662228676,1778.6520168258246,1788.4773628792757,1802.258087093718,1816.0992927400455,1834.6474766419371,1854.2797345797467,1884.0845719693857,1913.3243323001047,1942.4367706737087,1968.0798644377476,1991.095137210348,2012.162239416681,2024.4361332608432,2033.4101683397018,2042.9765743823561,2060.702468181139,2082.3209102428955,2106.289738393291,2129.794560714216,2155.906964121257,2173.7705371929624,2184.3605448470403,2187.7961446050012,2192.7593487929466,2197.828351806209,2202.019817831629,2204.265155346588,2208.889173956677,2219.535923340406,2229.9227322381626,2244.371424523665,2257.7958928450867,2270.009813514723,2275.627251606674,2273.315424736477,2266.0823843164408,2266.906552155671,2268.082806927035,2277.29243608322,2284.182571975616,2301.9407739419694,2315.4851990925067,2322.7472203936854,2327.4068041315795,2331.8629774685905,2335.0253295861257,2333.7547629794035,2328.002643927765,2321.7612330370052
394692,5,"Houston, TX",msa,TX,1485.4915528789757,1490.872785302586,1498.7340140315096,1509.9400072923945,1521.2758645812366,1531.7375673788915,1534.0641593911032,1534.3393626740735,1529.697845302304,1526.1950941442467,1522.4318935990432,1517.8554287345166,1519.2002567088048,1519.7217124288704,1525.4628826984285,1527.6265280735688,1531.5803908697756,1535.7805344389171,1535.7865608524169,1533.51154073497,1525.7304611574646,1518.6536111197652,1510.5330733531564,1505.880603989762,1508.8666986902772,1519.204642955886,1531.301992248778,1540.2816142754734,1547.389782675944,1552.0705088583527,1553.3230902107491,1551.8640089479468,1558.4787837090737,1565.1740021132775,1570.7509774552657,1569.9120314295449,1574.663792966424,1580.3320461652856,1586.2809007052406,1590.092717355963,1596.245339191318,1603.2302586950486,1603.1236047071911,1602.6730451576434,1599.5348420745058,1598.258296525338,1594.1268817304217,1592.4122412885504,1595.2122152219154,1602.0239020374815,1612.0754254221617,1623.092930263189,1633.190311021891,1639.159169220338,1640.3201790671665,1638.1388124089203,1636.5426570349582,1635.9461159981454,1635.5055006367327,1635.5005718333566,1638.9262969857748,1644.995837996302,1652.714381836742,1654.1535660210043,1658.0571829407245,1660.9643934171247,1671.9643866055662,1682.562458109786,1691.4709798202155,1697.9316950092543,1701.1003880981107,1708.0067988803892,1721.1145578123778,1735.7950882914774,1750.0191240161378,1763.2003095979433,1783.6246270483407,1804.5724719982184,1816.0247702914683,1828.7368196546774,1838.443008742775,1857.0420596013103,1863.6498785937263,1873.1408555249411,1881.2117515056593,1895.9841132436359,1906.86111474056,1920.122767414138,1932.609398413227,1953.2208396833648,1966.083921223714,1977.725451586589,1978.3930493117798,1985.1109464891326,1979.9269200015076,1982.7184038586681,1982.2043754904062,1994.9190254934977,2006.7310055405942,2017.2455198715775,2028.9265521713626,2041.4122129969805,2055.608663096374,2061.331395436511,2061.3820803175463,2056.0350227292274,2052.790330996835,2053.0906528909204,2059.557796074026,2072.8595540342267,2082.895647190217,2094.4731492662195,2101.617774496022,2111.310150264884,2117.2004112679324,2122.963594651801,2124.555512478338,2123.643837386366,2123.022721053425
395209,6,"Washington, DC",msa,VA,2039.4238467306714,2055.038968544438,2072.1819300752754,2083.0478335452985,2090.9847533609372,2099.9008472914625,2104.2057642137593,2101.6939842175507,2099.6987558777896,2092.3931083386606,2091.9238729749513,2086.4034923298254,2093.6745314802383,2101.4356867882416,2112.7029307005073,2120.776901418161,2132.3036449828473,2140.362777614532,2147.403057134015,2147.781366886684,2140.887823573582,2134.114559543674,2126.1957450833884,2123.9922111896353,2129.774336261534,2143.0960647636407,2163.4630888005836,2177.680210849987,2188.146277293447,2194.569660399979,2199.4164753864775,2196.732168589712,2195.580382191139,2186.146770371443,2182.9915335141663,2183.5222826750405,2189.775606765798,2199.698847134222,2212.0212918137554,2228.3928018973597,2240.7581373414096,2248.3969913863734,2252.190910768637,2252.777045639122,2247.7396848784633,2241.288719254364,2243.2657439737072,2243.795003237899,2248.512773740234,2256.101610094238,2273.94233977796,2292.325657045438,2305.386646133735,2313.9468294725057,2315.8290985465524,2317.8811637458793,2318.413877805636,2315.309238789483,2309.4493896444355,2300.9990997587533,2308.6236250329257,2319.60872175417,2340.5213957370765,2350.8566452862087,2361.531580137435,2366.6783702218986,2375.9938120574116,2384.8050173031493,2392.0546086971176,2390.1533990813136,2387.8062300205042,2386.64091319406,2399.8323707899604,2409.857085753075,2428.6238868581354,2448.481680186849,2478.0888119733645,2502.044199378975,2521.291188455585,2536.2173962863235,2546.8345491662762,2560.9761992234503,2566.726129672889,2570.908823114104,2575.3406426062634,2595.314403603671,2621.11589956046,2655.4325487833135,2678.0355293746106,2702.6273619312788,2715.8092479624397,2726.500604886231,2731.3991368403754,2731.462960589734,2734.3772842602343,2742.863891507186,2751.130275381108,2764.0055842909874,2775.6762130707334,2792.824478531365,2814.8036692294545,2839.1029546474706,2863.081923929015,2878.632156903241,2884.9388594614065,2887.8785633197017,2892.8584541254327,2889.5506579278504,2892.8318616568836,2900.7022830705005,2928.656095025233,2957.9110360142636,2977.781218335387,3005.365534401701,3021.0553762747127,3036.50460272381,3028.9061729162277,3020.1579294429557,3023.4455126979883
394974,7,"Philadelphia, PA",msa,PA,1318.161209252339,1327.102356192831,1338.4762240787115,1346.4332587389197,1350.3826834883462,1352.6848296671,1355.6794917929287,1357.2157718781361,1358.5877669280906,1359.334441250294,1353.970429437062,1353.1387891454597,1353.9387808680594,1363.3455853451178,1371.8334790031859,1380.6125981357327,1386.6444871300343,1393.2681587755976,1395.253153037476,1395.9873220981515,1392.8152159688846,1390.6891843096612,1393.7551459264107,1395.9293416321993,1402.986246524485,1409.4911209598545,1421.5621092051472,1429.6537553040719,1435.7438586782084,1435.4742461167186,1437.4755429606012,1439.752913076096,1443.07097719269,1444.8879071690758,1444.7567926652337,1446.6691834520418,1446.7514412919074,1453.3057570903056,1465.4255401222727,1478.6370992812542,1489.1866084147446,1492.3036102904643,1491.2451894781257,1489.0683105524506,1491.4943401234818,1497.287767074244,1501.9214895086395,1501.3750789343983,1504.464718495276,1511.7017550373353,1521.951897549932,1531.8307914169357,1539.503156039504,1547.1056623895627,1549.8749846041446,1550.2331396866039,1550.1077762625193,1553.9525088536714,1556.1675672009571,1561.32378611217,1564.3527202038326,1573.6257308039012,1581.0230157180863,1586.1872150159686,1590.8723687496988,1596.743479518,1609.1558378816346,1617.0540200305165,1627.8208478384329,1632.0913093463207,1640.1658269663674,1646.5141451914294,1657.71802492293,1670.4411842303607,1678.6290799682727,1694.059162817638,1709.8886619985892,1726.8203014484413,1740.0899424991833,1754.2639404028798,1755.9508107764016,1769.5084556420932,1782.1518117452272,1808.2747715135897,1820.3269364034043,1829.3202804609837,1841.1512295587904,1853.0768040018431,1866.9717525173917,1883.767084936742,1899.0955945142455,1913.1373180869487,1920.1791937803516,1922.7347284295386,1927.6762079289256,1925.6142536836426,1932.1302327475994,1940.3043656022396,1956.6528383352604,1968.3239270601314,1975.8254855193804,1983.72538880334,1992.5386280616276,2001.4563374554018,2016.575008753772,2034.6384630764453,2047.8406795425071,2046.8464772167156,2051.498204006741,2059.167766455948,2072.4143000559616,2078.280996514884,2087.0899042153605,2093.128953538078,2099.629579102724,2107.1506264923078,2120.3439573923474,2135.6401881493293,2152.401094832366
394856,8,"Miami, FL",msa,FL,1745.2496518094558,1750.2947370595539,1761.5893136803559,1771.8734133120402,1780.1337903695721,1787.5493254499502,1800.4915763695471,1809.7093885773236,1823.610451087398,1829.6286051220955,1842.3726757817274,1845.9714138613308,1855.0277430676142,1852.6630657048556,1858.9508422472122,1858.839622378006,1868.5210443526166,1868.365928573491,1874.5224132636065,1877.1345657766094,1885.4425086443696,1889.8513053608372,1896.804102648635,1896.6309617031106,1901.4845275517046,1909.3193506343462,1921.757994863827,1928.2886564920673,1930.5663029187715,1937.3930782807734,1948.0610858405987,1958.8482657530935,1964.7642005457556,1970.0796790821375,1972.3896591953528,1976.9448497381968,1980.8281832053983,1988.7349603110067,1996.1932792562127,2005.080875615075,2011.263729817111,2014.6144735513772,2020.6665376202177,2028.2887373107756,2036.7786265257598,2043.247903739377,2050.3839341491785,2051.928429364219,2052.7951723739766,2055.420355333323,2067.8151043075054,2076.7633299124363,2083.2622063095264,2089.521785053412,2094.863525926615,2100.823553027632,2108.3694513867626,2121.264167508656,2134.6049566488764,2140.246217989726,2138.5575510272433,2145.6855099386394,2147.2045283445073,2151.2417985519746,2147.4520338555976,2162.398091007346,2182.3483810186613,2202.220678318139,2223.786172875046,2260.0365982567578,2294.9746417412457,2320.269059317324,2327.4650799404867,2343.1101758892487,2355.270109816482,2382.8976335158013,2421.5653013535643,2480.23932783797,2549.1247406595126,2608.0673946611582,2678.055532572681,2724.7224252457645,2795.273292074016,2842.3132106195826,2903.085439993354,2936.627458233903,2985.101648799956,3039.542545181848,3104.565026581173,3160.6919405934063,3196.1097571748587,3222.218147311056,3225.2347396413006,3234.5267669062687,3239.6972078160557,3246.6466612500153,3240.839934785474,3230.0661576204766,3234.1649392964314,3254.345298933331,3279.701424558999,3309.508230021256,3321.08082196002,3338.3080170482326,3351.067855626625,3369.998797511046,3379.100493063054,3363.1160395795728,3359.227027976301,3358.867473992555,3388.174267200643,3406.92105224816,3423.3282658846515,3423.5213865065753,3435.4068335062434,3447.171824105814,3459.2096302391687,3453.3137871200647,3462.0305090267534
394347,9,"Atlanta, GA",msa,GA,1102.613654597626,1108.7142669906873,1111.7135668348417,1121.8293633995072,1129.9167047374406,1142.357083518031,1149.1200698909274,1151.877228550972,1151.4753256318334,1151.4190665571257,1150.829975902182,1154.1491867077582,1159.6447062577827,1169.4348970746362,1176.4256104388433,1184.1841420520848,1192.4658754001305,1202.9403851457998,1211.463842349968,1216.1107847391274,1215.0666592802183,1213.8879331005555,1213.1119439921456,1215.7976108314715,1220.9708562328049,1229.604432882371,1242.1175363957457,1254.877231364925,1267.7332199758193,1277.9126771270257,1287.2295099784408,1290.6785860356476,1293.070986745531,1289.6089018417113,1293.6435419980946,1295.3937314464556,1303.3885061773528,1309.3381336038024,1322.6984300812535,1335.1895722307884,1347.7925951203856,1354.4343068998928,1358.8806217500955,1360.3643039666576,1362.3995506942338,1366.6505858168812,1371.6825756820078,1376.107695695043,1381.820706679317,1389.8273552903945,1402.3473949928577,1414.9865324399136,1425.9897853789134,1436.545135321776,1442.1829166462073,1445.6030722377668,1446.6782405981314,1448.7815203441044,1451.592743693937,1453.971611119071,1459.1280650819813,1468.4147046483226,1480.7273200451368,1491.2993353029517,1503.2279242747752,1516.4162279649884,1532.240429551481,1548.2717434569565,1563.5896117893765,1577.6221430649762,1589.2274479050718,1600.3539431244221,1615.824695325267,1636.9088206800184,1660.1203934270432,1686.8199218174193,1712.6060279858737,1742.0247853988783,1768.5185410240333,1800.1256122338298,1825.2196888686988,1849.3869377169299,1861.4900776264817,1869.6274662379642,1876.3526281683264,1887.2234527816106,1903.4585678204057,1917.9316590703027,1936.182484531928,1958.4788422744296,1985.1427450378803,2004.340815983228,2015.3207195148727,2019.5258291151215,2019.2818245099702,2029.5595687291718,2031.7431277086291,2040.0240936183711,2043.230640159251,2051.6162561652027,2059.107522875366,2063.7765630762583,2072.752303195774,2080.3302193474346,2083.29840181788,2074.3317948390577,2064.721137042593,2066.2557088676585,2087.866438688516,2112.2381120300965,2127.8892130311756,2132.5406518514656,2135.9240821219546,2148.2049254014505,2159.7655268569556,2170.2940412015028,2170.133051299277,2169.611011925352,2165.666680203854
